,text,term,polarity
1150,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,battery life,0
1151,The graphics are great.,graphics,1
1152,in 5 months the connect quality got worse and worse.,connect quality,-1
1153,"The big screen allows you to enjoy watching movies , pictures and etc!",screen,1
1154,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphone,-1
1155,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic jack,-1
1156,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,0
1157,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,-1
1158,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphones,-1
1159,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic,-1
1160,For the [$] price (special offer) this is a great laptop.,price,1
1161,the manufacturer's warranty only covers replacement/repair of parts.,warranty,-1
1162,What I'd like is for the laptop to run well without having to purchase additional memory.,memory,-1
1163,What I'd like is for the laptop to run well without having to purchase additional memory.,run,0
1164,It works exactly like it did the day I took it out of the box.,works,1
1165,"It is fast booting up , shutting down, and connection with the internet.",connection with the internet,1
1166,"It is fast booting up , shutting down, and connection with the internet.",booting up,1
1167,"It is fast booting up , shutting down, and connection with the internet.",shutting down,1
1168,The battery life is great.,battery life,1
1169,This is not a serious gaming laptop or a serious media machine;,gaming,-1
1170,  They replaced my hard drive as well as my mother board.,hard drive,0
1171,  They replaced my hard drive as well as my mother board.,mother board,0
1172,There is nothing to complain about the system.,system,1
1173,and it comes with the new OSX that comes with new features that makes the use more easy.,OSX,1
1174,and it comes with the new OSX that comes with new features that makes the use more easy.,features,1
1175,and it comes with the new OSX that comes with new features that makes the use more easy.,use,1
1176,"Now the screen is going darker, darker, darker.",screen,-1
1177,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,-1
1178,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYBOARD,-1
1179,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,-1
1180,"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Features,0
1181,"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Dashboard,0
1182,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,return policy,-1
1183,"  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.",battery,-1
1184,Great pick for portability and affordability.,portability,1
1185,Great pick for portability and affordability.,affordability,1
1186,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",set up,1
1187,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",hook to my wireless network,1
1188,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",aluminum style,1
1189,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",specs,1
1190,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",nvidia 9800,0
1191,The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.,arm piece,1
1192,I take it everywhere with me because it's so easy to carry.,carry,1
1193,The only thing is that the battery won't last more than 1/2 an hour.,battery,-1
1194,The first fell apart right after the 1-year-warranty.,1-year-warranty,0
1196,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,word processer,1
1197,The keyboard has a wonderful nature feel.,keyboard,1
1198,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",battery,0
1199,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",hard disk,0
1200,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,battery,-1
1201,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,battery,1
1202,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",performance specs,0
1203,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",features,0
1204,I have no idea how this could have even gotten past quality control during production.,quality control,-1
1205,"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",touch-mouse,-1
1206,"Oh yea, has no numeric pad on the side.",numeric pad,-1
1207,"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",cover for the DVD drive,-1
1208,"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",construction quality,-1
1209,But the arm velcro is torn after one use.,arm velcro,-1
1210,The software is amazing.,software,1
1211,"We carry the netbook around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards.",LCD,-1
1212,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",2 GB of RAM,1
1213,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",Windows 7,1
1214,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",programs,1
1215,"The battery life is amazing, the versitility is outstanding.",battery life,1
1216,"The battery life is amazing, the versitility is outstanding.",versitility,1
1217,"It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it.",Safari,0
1218,Vista is a nightmare.,Vista,-1
1219,The program came with the computer and works beautifully.,program,1
1220,"the hinge design forced you to place various connections all around the computer, left right and front.",hinge design,-1
1221,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",screen,1
1222,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",display,1
1223,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",browsers,0
1224,The So called laptop Runs to Slow and I hate it!,Runs,-1
1225,Charger seems large for this class of computer.,Charger,-1
1226,I dislike the quality and the placement of the speakers.,speakers,-1
1227,"The screen graphics and clarity, and sharpness are great.",screen graphics,1
1228,"The screen graphics and clarity, and sharpness are great.",clarity,1
1229,"The screen graphics and clarity, and sharpness are great.",sharpness,1
1230,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",customer support,1
1231,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",performance,0
1232,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",safety feature,0
1233,The unibody design is edgy and durable.,unibody design,1
1234,STOPPED BOOTING UP less than a week after my one-year warranty was up.,BOOTING UP,-1
1235,STOPPED BOOTING UP less than a week after my one-year warranty was up.,one-year warranty,0
1236,"But, for the cost this is a winner.",cost,1
1237,Later it held zero charge and its replacement worked for less than three months.,charge,-1
1238,"  Also, the battery does not last very long at all.",battery,-1
1240,"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",software,-1
1241,I looked around and based off my price/features comparison from a brand I trusted I landed here.,price,0
1242,I looked around and based off my price/features comparison from a brand I trusted I landed here.,features,0
1243,  I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,services,-1
1244,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,performance,1
1245,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,speed,1
1246,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,use,1
1247,Unless you need the Bluetooth 3.,Bluetooth 3,0
1248,I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.,warrenty,-1
1249,I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.,fan blade,-1
1250,"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",internet connection,-1
1251,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives,-1
1252,I don't understand why only Windows 7 Starter is included.,Windows 7 Starter,-1
1253,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",functionality,1
1254,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",value,1
1255,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",simplicity,1
1256,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",look,1
1257,My macbook is so much better looking and so thin!,looking,1
1258,The ease of use is wonderful.,use,1
1259,This system came loaded with Windows 7 Starter.,Windows 7 Starter,0
1260,"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",battery life,-1
1261,The battery gets so HOT it is scary.,battery,-1
1262,Best thing is I can use existing 32 bit old programs.,programs,1
1263,It's so nice to look at and the keys are easy to type with.,keys,1
1264,It's so nice to look at and the keys are easy to type with.,look,1
1265,I am forever changed and will no longer buy a Windows based machine for personal use.,Windows,-1
1266,The only thing I would change about it is the mouse keys.,mouse keys,-1
1267,"It is absolutely horrible to use, despite all its so called advanced features.",features,-1
1268,"It is absolutely horrible to use, despite all its so called advanced features.",use,-1
1269,"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers,0
1270,"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",Windows 7 Ultimate,0
1271,I have to keep turning it until it decides to lower and there is no mute.,mute,-1
1272,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,color reproduction,1
1273,After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,warranty,0
1274,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,use,1
1275,"u can do what u want in just few seconds, even to start up your computer takes few seconds.",start up,1
1276,"Also, macbooks come with much more features which are so cool!",features,1
1277,They sent out a Sony 'Certified' technician.,Sony 'Certified' technician,0
1278,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software,1
1279,Getting the Apple Care plan is a must.,Apple Care plan,1
1280,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,cd drive,0
1281,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,video games,0
1282,"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",programs,0
1283,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",processor,1
1284,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",memory,1
1285,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",hard drive,1
1286,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",web cam,1
1287,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",screen,1
1288,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,1
1289,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,battery,-1
1290,The graphics on this computer are also stellar - very clear and vivid.,graphics,1
1291,"Aside from the trial software and the short battery life, lack of a webcam, its great.",trial software,-1
1292,"Aside from the trial software and the short battery life, lack of a webcam, its great.",battery life,-1
1293,"Aside from the trial software and the short battery life, lack of a webcam, its great.",webcam,-1
1294,"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.",Windows,1
1295,I think that if it is the motherboard again so soon that they should replace it.,motherboard,-1
1296,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",programs,1
1297,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",loads,1
1298,"Graphics are clean and sharp, internet interfaces are seamless.",Graphics,1
1299,"Graphics are clean and sharp, internet interfaces are seamless.",internet interfaces,1
1300,"The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!",black keyboard,-1
1301,Sony parts reliability and quality of service is recenlty the worst.,service,-1
1302,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options,-1
1303,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",applications,-1
1304,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features,0
1305,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",functioning,0
1306,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",programs,0
1307,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",Office,1
1308,It just works flawlessly!,works,1
1309,"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,-1
1310,I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).,port,-1
1311,  also the battery is completely shot.,battery,-1
1312,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,1
1313,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,1
1314,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,LED backlit screen,1
1315,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,8GB RAM,1
1316,The biggest problem is that the box had no instructions in it.,instructions,-1
1317,"But after using it a couple of weeks, the overall operation is poor.",operation,-1
1318,"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",value,1
1319,"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",built,1
1320,"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",works,1
1321,Screen is crystal clear and the system is very responsive.,Screen,1
1322,Screen is crystal clear and the system is very responsive.,system,1
1324,Or the cursor would show up some place else.,cursor,-1
1325,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software,0
1326,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,operate,1
1327,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,gadgets,0
1328,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",Windows,-1
1329,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",hard drive,-1
1330,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",disk image,-1
1331,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,1
1332,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,1
1333,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",disc drive,-1
1334,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,-1
1335,"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,0
1336,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",Appleworks,-1
1337,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",word processing program,-1
1338,I already have a HP laptop I bought last year that's standard size.,size,0
1339,Battery is not upgradable to a longer life battery.,Battery,-1
1340,Battery is not upgradable to a longer life battery.,battery,-1
1341,apple has a reputation and is well known for its easy usage.,usage,1
1342,Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,speaker grill,-1
1343,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",MacOSX,1
1344,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",Windows 7,1
1345,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",dual-core,0
1346,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",quad-core,0
1347,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.","22"" Monitor",0
1348,"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics,1
1349,"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,1
1350,"Love the graphics, awesome programs (including Garageband), and really cool default background.",Garageband,1
1351,"Love the graphics, awesome programs (including Garageband), and really cool default background.",default background,1
1352,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",Screen,0
1353,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",keyboard,0
1354,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",screen,1
1355,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",island backlit keyboard,1
1356,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",multi-touch mouse,1
1357,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",mouse,0
1359,The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,Windows,0
1360,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",iWork,0
1361,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",programs,0
1362,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",Microsoft Office,0
1363,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",word processing,0
1364,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",spreadsheets,0
1365,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",presentations,0
1366,"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs,1
1367,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,warranty,0
1368,It also came with a built it web cam which is great because I can see an communicate with my family members back home.,built it web cam,1
1369,Good monitor and performed well.,monitor,1
1370,Good monitor and performed well.,performed,1
1371,It was secure and easy to navigate.,navigate,1
1372,"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,1
1373,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,bluray player,0
1374,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,book,-1
1375,They are by far the easiest systems to actually learn about computers with.,systems,1
1376,this apple navigates you thru the unexplored world of the internet.,internet,0
1378,"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming,1
1379,"The video card is great for media, and above average for gaming, but not a gamers first choice.",media,1
1380,"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.",3 year warranty,0
1381,"Apparently there is a manufacturing defect, something with the amount of thermal paste.",thermal paste,-1
1382,Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.,internals,-1
1383,Took several hours with customer support before I could even start the PC out of the box.,customer support,-1
1384,Asus facial recognition doesn't work and windows logon isn't either.,facial recognition,-1
1385,Asus facial recognition doesn't work and windows logon isn't either.,windows logon,-1
1386,Windows Vista makes this computer almost unusable for online service.,Windows Vista,-1
1387,Windows Vista makes this computer almost unusable for online service.,online service,-1
1388,"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.",recovery DVDs,1
1389,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam,0
1390,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,keyboard,0
1391,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,carry,1
1392,Can listen to my music and watch my videos with ease and with a great display.,display,1
1393,"Otherwise, all other features are a 1",features,0
1394,The performance is awesome.,performance,1
1395,The display is beyond horrible.,display,-1
1396,There is hardly any memory on the computer's hard drive.,memory,-1
1397,There is hardly any memory on the computer's hard drive.,hard drive,-1
1398,"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,-1
1399,"Next, most Acer laptop fans are on the bottom which is right on your laptop.",fans,0
1400,the laptop preformed pretty well.,preformed,1
1401,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,0
1402,I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS,-1
1403,"The minute you fire it up it's all good, very easy user interface.",user interface,1
1404,  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,warrenty,-1
1405,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",iDVD,1
1406,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,1
1407,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,1
1408,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive,0
1409,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,battery,-1
1410,"I love the easy to see screen, and It works well for work, persoal or just play.",screen,1
1411,"I love the easy to see screen, and It works well for work, persoal or just play.",works,1
1412,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing,0
1413,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",surfing,0
1414,the mouse pad and buttons are the worst i've ever seen.,mouse pad,-1
1415,the mouse pad and buttons are the worst i've ever seen.,buttons,-1
1416,Awesome graphics!,graphics,1
1417,It really is perfect for work and play.,play,1
1418,It really is perfect for work and play.,work,1
1419,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,-1
1420,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edge,-1
1421,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edges,-1
1422,One drawback I noticed was sound quality via USB.,sound quality via USB,-1
1423,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",battery life,-1
1424,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",warranty,-1
1426,"I have had another Mac, but it got slow due to an older operating system.",operating system,-1
1427,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers,-1
1428,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",sound card,-1
1429,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows 7,1
1430,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",features,1
1431,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",budget,1
1432,"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,-1
1434,"Also the speakers are not very loud, But it is a netbook.",speakers,-1
1435,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,PRICE,1
1436,Just a black screen!,screen,-1
1437,A key contributor that led me to Mac is the art aspect.,art aspect,1
1438,"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.",battery,-1
1439,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",surfing,1
1440,My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program,-1
1441,"I had a USB connect but, i can't use it because it is not compatible.",USB connect,-1
1442,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",hard drive,-1
1443,"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",expense,-1
1445,I love the multi-touch trackpad.,multi-touch trackpad,1
1446,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,extended warranties,-1
1447,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,cost,-1
1448,"Not too much ""junk"" software to remove.",software,1
1449,System is loosing about 20% of performance because of that.,performance,-1
1450,System is loosing about 20% of performance because of that.,System,-1
1451,"It is easy to use, good quality and good price.",quality,1
1452,"It is easy to use, good quality and good price.",price,1
1453,"It is easy to use, good quality and good price.",use,1
1454,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",Apple keyboard,0
1455,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",PC's keyboard,0
1456,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,extended warranty,0
1457,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM,0
1458,"  The hard drive crashed as well, and I had to buy a new  power cord.",hard drive,-1
1459,"  The hard drive crashed as well, and I had to buy a new  power cord.",power cord,-1
1460,Another issue I have with it is the battery.,battery,-1
1461,"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply,0
1462,"After 2 months of complaints, Asus finally sent the right power supply to my techies.",techies,0
1463,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software,0
